Mã,Tên vị trí,Phòng ban,Cấp,Còn thiếu,Mục đích vị trí,Kết quả đầu ra (mỗi dòng một mục),Nhiệm vụ (mỗi dòng một mục),Năng lực (TD-A04),"Quy trình (TD-C01, ngăn bằng dấu phẩy)",Tình trạng,Ghi chú,Người sửa
VT-03-C01,Trưởng ban điều hành (Chief Executive Officer - CEO),03 Ban Điều hành,CEO,mục đích cụt · nhiệm vụ (13 dòng) · năng lực · quy trình (thiếu 31 mã),"Nhận nhiệm vụ và chỉ tiêu năm từ Ban Quản trị, chuyển thành hệ thống nhiệm vụ phân bổ cho các khối chức năng, tổ…","Kế hoạch năm toàn công ty được Ban Quản trị phê duyệt, chỉ tiêu phân bổ hết xuống 22 phòng ban
Cam kết kết quả năm theo bốn phương diện, có mốc kỳ và ngưỡng cảnh báo
Quyết định điều chuyển nguồn lực giữa các khối khi lệch chuẩn vượt ngưỡng
Báo cáo điều hành định kỳ trình Ban Quản trị, kèm giải trình lệch chuẩn theo mã lý do
Bộ máy 22 phòng ban đủ Head, mỗi vị trí có mô tả công việc và có chỉ tiêu",,Chờ TD-A04 mở rộng,"03-P01, 07-P03, 07-P05, 07-P07",Đã ban hành v2,,
VT-03-H01,Giám đốc Văn phòng Chiến lược - Head thường trực Ban Điều hành,03 Ban Điều hành,Head,mục đích cụt · nhiệm vụ (12 dòng) · năng lực · quy trình (thiếu 1 mã),"Nhận định hướng và mục tiêu chiến lược từ CEO, chuyển thành chuỗi hoạch định truy vết được và Kế hoạch năm với đầy đủ…","Chuỗi hoạch định truy vết được từ sứ mệnh tới việc cụ thể, không đứt mắt xích
Kế hoạch năm đủ chỉ tiêu, thang đo và ngân sách cho từng phòng, chốt đúng lịch
Bộ review lệch chuẩn theo kỳ, có mã lý do và hành động khắc phục
Phiên bản kế hoạch được quản lý chặt, mỗi lần mở lại đều có bản chụp lưu vết",,Chờ TD-A04 mở rộng,"03-P01, 03-P02, 03-P03, 03-P04",Đã ban hành v2,,
VT-03-L01,Lead Strategy and PMO - Trưởng nhóm Hoạch định và Quản trị dự án,03 Ban Điều hành,Lead,mục đích cụt · nhiệm vụ (11 dòng) · năng lực,"Nhận nhiệm vụ và chỉ tiêu đã được Head phân bổ, chuyển thành kế hoạch làm việc của nhóm và phân bổ cho từng Staff theo…","Kế hoạch làm việc của nhóm theo tuần, gắn với dòng nhiệm vụ đã khóa
Dữ liệu theo dõi tiến độ danh mục dự án chiến lược, cập nhật đúng nhịp
Biên bản review lệch chuẩn của nhóm kèm kiến nghị gửi Head
Bộ biểu mẫu hoạch định chuẩn hóa dùng chung cho các phòng",,Chờ TD-A04 mở rộng,"03-P01, 03-P02, 03-P03, 03-P04",Đã ban hành v2,,
VT-03-S01,Staff Strategy and PMO - Chuyên viên Hoạch định và Quản trị dự án,03 Ban Điều hành,Staff,mục đích cụt · nhiệm vụ (10 dòng) · năng lực,"Nhận nhiệm vụ và chỉ tiêu đã được Lead phân bổ, xác nhận hoặc đề xuất điều chỉnh trước khi dòng nhiệm vụ được khóa, sau…","Số liệu thực tế cập nhật đúng hạn vào từng dòng nhiệm vụ được giao
Bản tổng hợp tiến độ dự án theo mốc, nêu rõ việc trễ và nguyên nhân
Biểu mẫu và tài liệu họp chuẩn bị đủ trước mỗi phiên hoạch định
Hồ sơ lưu vết thay đổi kế hoạch theo từng phiên bản",,Chờ TD-A04 mở rộng,"03-P01, 03-P02, 03-P03, 03-P04",Đã ban hành v2,,
VT-03-S02,Trợ lý Trưởng ban điều hành (Trợ lý CEO),03 Ban Điều hành,Trợ lý,mục đích cụt · nhiệm vụ (0 dòng) · năng lực,"Hỗ trợ trực tiếp Trưởng ban điều hành (CEO): theo dõi, tổng hợp, nhập liệu và soát xét (review) số liệu/kế hoạch trên các phiên bản CHƯA KHÓA (mọi nội dung tự nhập/sửa hiển thị màu đỏ); được xem toàn bộ chuỗi dữ liệu từ Hoạch định → Kế hoạch năm → Kế hoạch quý/tháng → Kế hoạch tuần; sau đó trình CEO xem, sửa và phê duyệt/khóa — không có quyền tự phê duyệt…","Bản tổng hợp số liệu và kế hoạch trên các phiên bản chưa khóa, phần tự nhập đánh dấu màu đỏ để phân biệt
Bản soát xét nêu điểm lệch giữa Hoạch định, Kế hoạch năm, kế hoạch quý tháng và kế hoạch tuần
Hồ sơ trình Trưởng ban điều hành đủ căn cứ để xem, sửa và phê duyệt trong một lần
Nhật ký việc Trưởng ban điều hành đã giao cho các phòng, kèm tình trạng và hạn",,Chờ TD-A04 mở rộng,,"Bản thảo mới — bổ sung 19/08/2026 theo yêu cầu Chủ tịch/CEO, chưa qua quy trình duyệt JD chuẩn",,
VT-04-H01,Head of Corporate Governance and Legal - Trưởng đơn vị Pháp lý doanh nghiệp và Tuân thủ quản trị,04 Pháp lý doanh nghiệp và Tuân thủ quản trị,Head,mục đích cụt · nhiệm vụ (12 dòng) · năng lực · quy trình (thiếu 4 mã),"Nhận nhiệm vụ và chỉ tiêu pháp lý doanh nghiệp từ CEO, chuyển thành kế hoạch nhiệm vụ của phòng và phân bổ cho Lead rồi…","Danh mục pháp nhân và giấy phép ngành dược còn hiệu lực, có lịch gia hạn không để quá hạn
Bộ mẫu hợp đồng chuẩn và ngưỡng phê duyệt được ban hành và áp dụng thống nhất
Báo cáo rủi ro pháp lý và tranh chấp theo kỳ, kèm phương án xử lý
Quy chế ủy quyền, con dấu và lưu trữ được ban hành và tuân thủ",,Chờ TD-A04 mở rộng,"04-P01, 04-P02, 04-P03, 04-P04",Đã ban hành v2,,
VT-04-L01,Legal Lead - Trưởng nhóm Pháp lý doanh nghiệp,04 Pháp lý doanh nghiệp và Tuân thủ quản trị,Lead,mục đích cụt · nhiệm vụ (11 dòng) · năng lực · quy trình (thiếu 4 mã),"Nhận nhiệm vụ và danh mục được phân bổ từ Head, chuyển thành lịch xử lý và phân công cho từng Staff theo hồ sơ. Trực…","Hợp đồng được rà soát và có ý kiến pháp lý trong thời hạn cam kết
Hồ sơ pháp nhân và giấy phép cập nhật, gia hạn trước hạn
Hồ sơ vụ việc tranh chấp đủ chứng cứ và bám đúng mốc tố tụng
Bản cập nhật quy định mới ảnh hưởng tới hoạt động, gửi các phòng liên quan",,Chờ TD-A04 mở rộng,"04-P01, 04-P02, 04-P03, 04-P04",Đã ban hành v2,,
VT-04-S01,Legal Officer - Chuyên viên Pháp lý doanh nghiệp,04 Pháp lý doanh nghiệp và Tuân thủ quản trị,Staff,mục đích cụt · nhiệm vụ (10 dòng) · năng lực · quy trình (thiếu 4 mã),"Nhận nhiệm vụ và danh sách hồ sơ được phân công từ Lead, chuyển thành lịch làm việc tuần cá nhân và trực tiếp thực hiện…","Bản rà soát hợp đồng theo mẫu, nêu rõ điều khoản rủi ro và kiến nghị sửa
Hồ sơ xin cấp và gia hạn giấy phép nộp đúng thành phần, đúng hạn
Sổ theo dõi ủy quyền và sử dụng con dấu cập nhật từng lần
Hồ sơ pháp lý lưu trữ theo danh mục, tra cứu được",,Chờ TD-A04 mở rộng,"04-P01, 04-P02, 04-P03, 04-P04",Đã ban hành v2,,
VT-05-H01,Head of Board and Shareholder Management - Trưởng đơn vị Quan hệ Ban Quản trị và Cổ đông,05 Quan hệ BQT và Cổ đông,Head,mục đích cụt · nhiệm vụ (12 dòng) · năng lực,"Nhận nhiệm vụ và chỉ tiêu quản trị từ CEO, chuyển thành kế hoạch nhiệm vụ của phòng và phân bổ cho Lead rồi tới Staff…","Lịch phiên họp Ban Quản trị và Đại hội đồng cổ đông cả năm, tài liệu chuẩn bị đúng hạn
Bộ hồ sơ trình duyệt cấp cao đạt chuẩn, không bị trả lại vì thiếu căn cứ
Sổ đăng ký cổ đông và hồ sơ quan hệ cổ đông cập nhật đầy đủ
Báo cáo tình trạng thực hiện nghị quyết gửi Ban Quản trị theo kỳ",,Chờ TD-A04 mở rộng,"05-P01, 05-P02, 05-P03, 05-P04",Đã ban hành v2,,
VT-05-L01,Governance Lead - Trưởng nhóm Hồ sơ trình duyệt cấp cao và Quan hệ cổ đông,05 Quan hệ BQT và Cổ đông,Lead,mục đích cụt · nhiệm vụ (11 dòng) · năng lực,"Nhận nhiệm vụ và danh mục hồ sơ, phiên họp được phân bổ từ Head, chuyển thành lịch xử lý và phân công cho từng Staff.…","Lịch xử lý hồ sơ trình duyệt theo từng phiên, phân công rõ người và hạn
Bộ tài liệu phiên họp hoàn chỉnh trước thời hạn gửi
Bản theo dõi nghị quyết và tình trạng thực hiện, cập nhật sau mỗi phiên
Đầu mối trả lời cổ đông vận hành theo quy trình đã duyệt",,Chờ TD-A04 mở rộng,"05-P01, 05-P02, 05-P03, 05-P04",Đã ban hành v2,,
VT-05-S01,Governance Officer - Chuyên viên Thư ký quản trị và Hồ sơ trình duyệt,05 Quan hệ BQT và Cổ đông,Staff,mục đích cụt · nhiệm vụ (10 dòng) · năng lực,"Nhận nhiệm vụ và danh sách hồ sơ được phân công từ Lead, chuyển thành lịch làm việc tuần cá nhân và trực tiếp thực hiện…","Hồ sơ trình duyệt soạn đúng mẫu, đủ phụ lục và căn cứ
Biên bản và nghị quyết ghi đúng nội dung đã diễn ra tại phiên họp
Dữ liệu cổ đông và thay đổi sở hữu cập nhật kịp thời
Hồ sơ quản trị lưu trữ theo đúng danh mục",,Chờ TD-A04 mở rộng,"05-P01, 05-P02, 05-P03, 05-P04",Đã ban hành v2,,
VT-06-H01,Head of External Reporting and Filings - Trưởng đơn vị Báo cáo và Công bố đối ngoại,06 Báo cáo và Công bố đối ngoại,Head,mục đích cụt · nhiệm vụ (12 dòng) · năng lực,"Nhận nhiệm vụ và chỉ tiêu về báo cáo, công bố đối ngoại từ CEO, chuyển thành lịch nghĩa vụ báo cáo và bộ dòng nhiệm vụ…","Lịch nghĩa vụ báo cáo cả năm theo từng cơ quan quản lý, không bỏ sót đầu mối
Hồ sơ nộp đúng hạn, không phát sinh nhắc nhở hoặc xử phạt hành chính
Dữ liệu nguồn cho báo cáo đối ngoại được đối chiếu trước khi nộp
Sổ theo dõi văn bản đến và đi với cơ quan quản lý",,Chờ TD-A04 mở rộng,"06-P01, 06-P02, 06-P03",Đã ban hành v2,,
VT-06-L01,Lead of External Reporting and Filings - Trưởng nhóm Báo cáo và Hồ sơ nộp đối ngoại,06 Báo cáo và Công bố đối ngoại,Lead,mục đích cụt · nhiệm vụ (11 dòng) · năng lực,"Nhận dòng nhiệm vụ đã khóa từ Head, chuyển thành kế hoạch lập và nộp hồ sơ theo từng hạn của nhóm nghĩa vụ được giao,…","Kế hoạch lập và nộp hồ sơ theo từng hạn của nhóm nghĩa vụ được giao
Hồ sơ hoàn chỉnh và đã soát xét trước khi trình ký
Bản đối chiếu số liệu giữa các khối trước khi đưa vào báo cáo
Báo cáo tình trạng nộp và phản hồi của cơ quan quản lý",,Chờ TD-A04 mở rộng,"06-P01, 06-P02, 06-P03",Đã ban hành v2,,
VT-06-S01,External Reporting and Filings Officer - Chuyên viên Báo cáo và Hồ sơ nộp đối ngoại,06 Báo cáo và Công bố đối ngoại,Staff,mục đích cụt · nhiệm vụ (10 dòng) · năng lực,"Nhận nhiệm vụ đã khóa từ Lead theo từng hồ sơ và từng kỳ, thu thập dữ liệu từ đầu mối các khối, lập hồ sơ đúng biểu…","Hồ sơ lập đúng biểu mẫu, đủ số liệu và chữ ký
Dữ liệu thu thập từ các khối có nguồn và ngày chốt rõ ràng
Biên nhận nộp hồ sơ lưu đầy đủ
Sổ theo dõi hạn của từng nghĩa vụ báo cáo",,Chờ TD-A04 mở rộng,"06-P01, 06-P02, 06-P03",Đã ban hành v2,,
VT-07-H01,Head of Finance - Giám đốc Tài chính (CFO),07 Tài chính - Kế toán,Head,mục đích cụt · nhiệm vụ (12 dòng) · năng lực · quy trình (thiếu 20 mã),"Nhận nhiệm vụ và chỉ tiêu tài chính từ CEO, chuyển thành kế hoạch nhiệm vụ của khối Tài chính, phân bổ cho Lead và…","Kế hoạch tài chính năm và dự báo dòng tiền theo kỳ, được Trưởng ban điều hành duyệt
Báo cáo tài chính và báo cáo quản trị phát hành đúng lịch, số liệu đối chiếu được
Ngân sách hoạt động, nhân sự và đầu tư kiểm soát trong ngưỡng đã duyệt
Giá thành lô và biên lợi nhuận theo sản phẩm, làm căn cứ quyết định giá
Nghĩa vụ thuế thực hiện đầy đủ, không phát sinh truy thu do lỗi hồ sơ",,Chờ TD-A04 mở rộng,"07-P01, 07-P02, 07-P03, 07-P04",Đã ban hành v2,,
VT-07-L01,Kế toán trưởng (Chief Accountant),07 Tài chính - Kế toán,Lead,mục đích cụt · nhiệm vụ (12 dòng) · năng lực · quy trình (thiếu 7 mã),"Nhận các dòng nhiệm vụ và chỉ tiêu đã được Head of Finance phân bổ, xác nhận hoặc đề xuất điều chỉnh, rồi chia tiếp cho…","Sổ sách kế toán khóa đúng kỳ, số dư đối chiếu khớp giữa các phân hệ
Báo cáo thuế lập và nộp đúng hạn, đúng số liệu
Bộ chứng từ hợp lệ cho mọi bút toán, đủ điều kiện kiểm toán
Bảng tuổi nợ và biên bản đối chiếu công nợ theo kỳ",,Chờ TD-A04 mở rộng,"07-P01, 07-P02, 07-P03, 07-P04",Đã ban hành v2,,
VT-07-S01,Kế toán bán hàng,07 Tài chính - Kế toán,Staff,mục đích cụt · nhiệm vụ (9 dòng) · năng lực · quy trình (thiếu 7 mã),"Nhận nhiệm vụ từ cấp trên trực tiếp, ghi nhận đầy đủ và chính xác các nghiệp vụ bán hàng, kiểm soát hóa đơn và chứng…","Hóa đơn bán hàng phát hành đúng, đủ và đúng thời điểm ghi nhận doanh thu
Doanh thu ghi nhận khớp với đơn hàng và phiếu giao đã ký
Bảng theo dõi công nợ phải thu theo khách hàng, cập nhật hằng ngày
Hồ sơ chiết khấu và hàng trả lại có đủ căn cứ phê duyệt",,Chờ TD-A04 mở rộng,"07-P01, 07-P02, 07-P03, 07-P04",Đã ban hành v2,,
VT-07-S02,Kế toán thuế,07 Tài chính - Kế toán,Staff,mục đích cụt · nhiệm vụ (9 dòng) · năng lực · quy trình (thiếu 7 mã),"Nhận nhiệm vụ từ cấp trên trực tiếp, thực hiện kê khai và nộp thuế đúng hạn, đúng số liệu, kiểm soát hóa đơn và hồ sơ…","Tờ khai các sắc thuế nộp đúng hạn, đúng số liệu
Hóa đơn đầu vào và đầu ra đối chiếu khớp với tờ khai
Hồ sơ hoàn thuế và giải trình với cơ quan thuế đủ căn cứ
Bản cập nhật thay đổi chính sách thuế ảnh hưởng tới công ty",,Chờ TD-A04 mở rộng,"07-P01, 07-P02, 07-P03, 07-P04",Đã ban hành v2,,
VT-07-S03,Thủ quỹ,07 Tài chính - Kế toán,Staff,mục đích cụt · nhiệm vụ (9 dòng) · năng lực · quy trình (thiếu 7 mã),"Nhận nhiệm vụ từ cấp trên trực tiếp, thực hiện thu chi tiền mặt trên cơ sở chứng từ hợp lệ và phê duyệt đúng thẩm…","Sổ quỹ tiền mặt khớp tồn quỹ thực tế tại mọi thời điểm kiểm kê
Phiếu thu và phiếu chi có chứng từ hợp lệ, đúng thẩm quyền phê duyệt
Biên bản kiểm kê quỹ định kỳ có chữ ký đủ thành phần
Báo cáo tồn quỹ và đề nghị bổ sung tiền mặt đúng nhịp",,Chờ TD-A04 mở rộng,"07-P01, 07-P02, 07-P03, 07-P04",Đã ban hành v2,,
VT-08-H01,Head of Human Resources (Trưởng đơn vị Nhân sự),08 Nhân sự,Head,mục đích cụt · nhiệm vụ (12 dòng) · năng lực · quy trình (thiếu 18 mã),"Nhận nhiệm vụ và chỉ tiêu năm về năng lực thực thi và văn hóa từ CEO trong phiên kế hoạch năm, chuyển thành các dòng…","Cơ cấu tổ chức và bộ mô tả công việc cho toàn bộ vị trí, quản lý theo phiên bản
Kế hoạch tuyển dụng và kế nhiệm đáp ứng nhu cầu của kế hoạch năm
Chính sách lương thưởng và đánh giá hiệu suất được ban hành và áp dụng
Chương trình đào tạo gắn với từ điển năng lực, có kết quả đo được",,Chờ TD-A04 mở rộng,"08-P01, 08-P02, 08-P03, 08-P04",Đã ban hành v2,,
VT-08-L01,HR Lead (Trưởng nhóm Nhân sự),08 Nhân sự,Lead,mục đích cụt · nhiệm vụ (11 dòng) · năng lực · quy trình (thiếu 13 mã),"Nhận các dòng nhiệm vụ đã được Head phân bổ, xác nhận hoặc đề xuất điều chỉnh, rồi chia tiếp cho từng HR Staff theo hồ…","Hồ sơ tuyển dụng từng vị trí đóng đúng thời hạn cam kết
Bảng lương và chế độ bảo hiểm tính đúng, chi trả đúng hạn
Hồ sơ nhân sự đầy đủ và cập nhật cho từng người lao động
Kết quả đánh giá hiệu suất theo kỳ, tổng hợp và trình Head",,Chờ TD-A04 mở rộng,"08-P01, 08-P02, 08-P03, 08-P04",Đã ban hành v2,,
VT-08-S01,HR Staff (Chuyên viên Nhân sự),08 Nhân sự,Staff,mục đích cụt · nhiệm vụ (11 dòng) · năng lực · quy trình (thiếu 13 mã),"Nhận các dòng nhiệm vụ do HR Lead phân bổ, xác nhận hoặc đề xuất điều chỉnh, rồi trực tiếp thực hiện trên từng hồ sơ…","Hồ sơ ứng viên và lịch phỏng vấn tổ chức đúng kế hoạch
Hợp đồng lao động và phụ lục ký đúng hạn, đúng mẫu
Dữ liệu chấm công và nghỉ phép chốt đúng kỳ tính lương
Hồ sơ bảo hiểm xã hội nộp đúng thành phần và đúng hạn",,Chờ TD-A04 mở rộng,"08-P01, 08-P02, 08-P03, 08-P04",Đã ban hành v2,,
